FIRST NAME,LAST NAME,OTHER NAME,GENDER,SPORT,EVENT/POSITION/CLASS,OLYMPIC EXPERIENCE,HEIGHT,WEIGHT,DOB,BIRTH CITY,BIRTH STATE,HOMETOWN CITY,HOMETOWN STATE,CURRENT RESIDENCE,CURRENT STATE,SCHOOL/COLLEGE
Draymond,Green,,M,Basketball,Forward,none,"6'7""",230,3/4/1990,Saginaw,Mich.,Saginaw,Mich.,Oakland,Calif.,Michigan State University
Kyrie,Irving,,M,Basketball,Guard,none,"6'3""",193,3/23/1992,Kew,Australia,West Orange,N.J.,Cleveland,Ohio,Duke University
DeAndre,Jordan,,M,Basketball,Center,none,"6'11""",265,7/21/1988,Houston,Texas,Houston,Texas,Los Angeles,Calif.,Texas A&M University
Kyle,Lowry,,M,Basketball,Guard,none,"6'0""",250,3/25/1986,Philadelphia,Pa. ,Philadelphia,Pa.,Toronto,Canada,Villanova Univeristy 
Klay,Thompson,,M,Basketball,Guard,none,"6'7""",215,2/8/1990,Los Angeles,Calif.,Los Angeles ,Calif. ,Oakland,Calif.,Washington State University
Seimone,Augustus,,F,Basketball,Guard/Forward,2008-G; 2012-G,"6'1""",165,4/30/1984,Baton Rouge,La.,Baton Rouge,La. ,Baker,La.,Louisiana State University '05
Sue,Bird,,F,Basketball,Guard,2004-G; 2008-G; 2012-G,"5'9""",147,10/16/1980,New York,N.Y. ,Syosset,N.Y.,Seattle,Wash.,University of Connecticut  '02
Tamika,Catchings,,F,Basketball,Forward,2004-G; 2008-G; 2012-G,"6'2""",170,7/21/1979,Stratford,N.J.,Indianapolis,Ind.,Indianapolis,Ind.,University of Tennessee '01
Tina,Charles,,F,Basketball,Center,2012-G,"6'3""",195,12/5/1988,Flushing,N.Y.,Queens,N.Y. ,Forest Hills,N.Y. ,University of Connecticut '10
Elena,Delle Donne,,F,Basketball,Guard/Forward,none,"6'5""",190,9/5/1989,Wilmington,Del. ,Wilmington,Del.,Wilmington,Del. ,University of Delaware '13
Sylvia,Fowles,,F,Basketball,Center,2008-G; 2012-G,"6'6""",200,10/6/1985,Miami,Fla.,Miami,Fla. ,Miami,Fla. ,Louisiana State University '08
Brittney,Griner,,F,Basketball,Center,none,"6'8""",208,10/18/1990,Houston,Texas,Houston,Texas,Houston,Texas,Baylor University '13
Angel,McCoughtry,,F,Basketball,Guard/Forward,2012-G,"6'1""",155,9/10/1986,Baltimore,Md.,Baltimore,Md.,Smyrna,Ga.,University of Louisville '09
Maya,Moore,,F,Basketball,Forward,2012-G,"6'0""",175,9/10/1986,Cole County,Mo.,Atlanta,Ga. ,Smyrna,Ga.,University of Connecticut '11
Breanna,Stewart,,F,Basketball,Forward/Center,none,"6'4""",175,8/27/1994,Syracuse,N.Y. ,North Syracuse,N.Y. ,North Syracuse,N.Y. ,University of Connecticut '16
Diana,Taurasi,,F,Basketball,Guard,2004-G; 2008-G; 2012-G,"6'0""",155,6/11/1982,Glendale,Calif.,Chino,Calif.,Phoenix,Ariz. ,University of Connecticut'04
Lindsay,Whalen,,F,Basketball,Guard,2012-G,"5'9""",160,5/9/1982,Hutchinson,Minn. ,Hutchinson,Minn.,Golden Valley,Minn. ,University of Minnesota
Carlos,Balderas,,M,Boxing,Lightweight - 60 kg.,None,"5'9""",132,8/24/1996,Lompoc,Calif.,Santa Maria,Calif.,Santa Maria,Calif.,"Santa Maria High School (Santa Maria, Calif.) '15"
Charles,Conwell,,M,Boxing,Middleweight - 75 kg.,None,"5'9""",165,11/2/1997,Detroit,Mich. ,Cleveland,Ohio,Cleveland Heights,Ohio,"Cleveland Heights High School (Cleveland Land Height, Ohio) '16"
Nico,Hernandez,,M,Boxing,Light Flyweight - 49 kg.,None,"5'5""",108,1/4/1996,Wichita,Kan.,Wichita,Kan.,Wichita,Kan.,
Gary,Russell,,M,Boxing,Light Welterweight - 64 kg. ,None,"5'8""",141,6/14/1996,"Washington, D.C. ",-,"Washington, D.C. ",-,Capitol Heights,Md.,Croom High School
Shakur,Stevenson,,M,Boxing,Bantamweight - 56 kg.,None,"5'8""",123,6/28/1997,Newark,N.J.,Newark,N.J.,Colorado Springs,Colo.,Central High School '15
Antonio,Vargas,,M,Boxing,Flyweight - 52 kg.,none,"5'6""",114,8/15/1996,Houston,Texas,Kissimmee,Fla. ,Colorado Springs,Colo.,
Mikaela,Mayer,,F,Boxing,Lightweight - 60 kg.,none,"5'9""",132,7/4/1990,West Hills,Calif.,Los Angeles,Calif.,Colorado Springs,Colo.,"Northern Michigan University '19, Business Administration"
Claressa,Shields,,F,Boxing,Middleweight - 75 kg.,2012-G,"5'9""",165,3/17/1995,Flint,Mich.,Flint,Mich.,Colorado Springs,Colo.,Flint Northwestern High School '13
Casey,Eichfeld,,M,Canoe (Slalom),C1/C2,2008; 2012,"5'10""",170,11/15/1989,Harrisburg,Pa. ,Drums,Pa.,Mount Holly,N.C. ,
Devin,McEwan,,M,Canoe (Slalom),C2,none,"5'10""",170,10/11/1984,Sharon,Conn.,Salisbury,Conn.,Lakeville,Conn.,The Hotchkiss School '12 
Michal,Smolen,,M,Canoe (Slalom),K1,none,"5'11""",155,9/13/1993,Krakow,Poland,Charlotte,N.C.,Gastonia,N.C. ,Queens University
Maggie,Hogan,,F,Canoe (Sprint),K1,none,"5'7""",135,1/1/1979,Langhorn,Pa. ,Huntington Beach,Calif. ,Huntington Beach,Calif.,"University of California - Santa Barbara '01, Bio-Psychology, Oklahoma City University '14, MBA"
Ashley,Nee,,F,Canoe (Slalom),K1,none,"5'4""",120,6/15/1989,"Washington, D.C. ",-,Darnestown,Md.,Bethesda,Md. ,University of Maryland
Connor,Fields ,,M,Cycling ,BMX - Men's,2012-7th,"6'0""",195,9/14/1992,Plano,Texas,Las Vegas,Nev.,Henderson,Nev.,"University of Nevada - Las Vegas '18, Marketing"
Nic ,Long,,M,Cycling ,BMX - Men's,2012-17th,"6'2""",190,10/6/1989,San Diego,Calif.,Lakeside,Calif.,Lakeside,Calif.,Grossmont-Cuyamaca Community College
Corben,Sharrah,,M,Cycling ,BMX - Men's,none,"6'0""",188,4/20/1992,Tuscon,Ariz.,Tucson,Ariz.,Tuscon,Ariz. ,"University of Arizona '18, Science"
Brooke,Crain,,F,Cycling ,BMX - Women's,2012-8th,"5'4""",123,4/29/1993,Visalia,Calif.,Visalia,Calif.,Visalia,Calif.,Marian University
Alise ,Post,,F,Cycling ,BMX - Women's,2012-12th,"5'2""",125,1/17/1991,St. Cloud,Minn. ,St. Cloud,Minn.,Chula Vista,Calif.,"University of San Diego '15, Kinesiology"
Howard ,Grotts,,M,Cycling ,Mountain - Men's,none,"5'7""",130,1/12/1993,Durango,Colo.,Durango,Colo.,Durango,Colo.,"Fort Lewis College '14, Mathematics"
Lea ,Davison,,F,Cycling ,Mountain - Women's,2012-11th,"5'6""",122,5/19/1983,Syracuse,N.Y.,Jericho,Vt. ,Jericho,Vt.,"Middlebury College '05, Environmental Studies"
Chloe ,Woodruff,,F,Cycling ,Mountain - Women's,none,"5'2""",113,7/21/1987,Boulder,Colo. ,Prescott,Ariz.,Prescott,Ariz. ,"University of Arizona '10, Communications"
Matt,Baranoski,,M,Cycling ,Keirin,none,"6'0""",212,7/27/1993,Perkasie,Pa. ,Perkasie,Pa.,Perkasie,Pa.,"Penn State University '16, Electrical Engineering"
Bobby,Lea,,M,Cycling ,Omnium,2008-16th; 2012-12th,"6'2""",170,10/17/1983,Easton,Md.,Topton,Pa.,Mertztown,Pa.,"Penn State University '06, Business Management"
Kelly,Catlin,,F,Cycling ,Team Pursuit,none,"5'6""",140,11/3/1995,Saint Paul,Minn. ,Arden Hills,Minn.,Colorado Springs,Colo. ,"University of Minnesota '18, Biomedical Engineering and Chinese"
Chlo_ ,Dygert,,F,Cycling ,Team Pursuit,none,"5'9""",147,1/1/1997,Indianapolis,Ind.,Brownsburg,Ind.,Bremerton,Ind.,Marian University
Sarah ,Hammer,,F,Cycling ,"Omnium, Team Pursuit",2008-5th; 2012-S (2x),"5'7""",145,8/18/1983,Torrance ,Calif.,Temecula,Calif.,Colorado Springs ,Colo.,"Palomar College '13, Liberal Studies"
Jennifer,Valente,,F,Cycling ,Team Pursuit,none,"5'9""",165,12/24/1994,San Diego,Calif.,San Diego,Calif.,Colorado Springs,Colo.,"University of Colorado-Colorado Springs, Undeclared"
Ruth,Winder,,F,Cycling ,Team Pursuit,none,"5'4""",127,7/9/1993,Steeton,United Kingdom,Lafayette,Calif. ,Lafayette,Calif.,"Winder Academy (Lafayette, Calif.) '12"
Brent,Bookwalter,,M,Cycling ,"Road Race, Time Trial",none,"5'11""",150,2/16/1984,Albuquerque,N.M.,Grand Rapids,Mich.,Asheville,N.C. ,"Rockford High School (Rockford, Mich.) '02"
Taylor,Phinney,,M,Cycling ,"Road Race, Time Trial","2008-2-4th, 7th; 2012-4th","6'5""",180,6/27/1990,Boulder,Colo.,Boulder ,Colo.,Boulder,Colo. ,"Boulder High School (Boulder, Colo.) '07"
Mara,Abbott,,F,Cycling ,Road Race,none,"5'4""",115,11/14/1985,Boulder,Colo.,Boulder ,Colo.,Boulder,Colo.,"Whitman College '08, Economics"
Kristin ,Armstrong,,F,Cycling ,"Road Race, Time Trial",2004; 2008-G; 2012-G,"5'8""",128,8/11/1973,Memphis,Tenn.,Boise,Idaho,Boise,Idaho,"Universty of Idaho '95, Exercise Physiology"
Megan ,Guarnier,,F,Cycling ,Road Race,none,"5'4""",120,5/4/1985,Glens Falls,N.Y.,Glens Falls,N.Y.,San Mateo,Calif.,"Middlebury College '07, Neuroscience"
Evelyn ,Stevens,,F,Cycling ,"Road Race, Time Trial",2012-24th,"5'5""",123,5/9/1983,Claremont,Calif.,San Francisco,Calif. ,San Francisco,Calif.,"Dartmouth College '05, Government"
David,Boudia,,M,Diving,"10m Synchro, 10m Individual","2008-5th, 6th; 2012-G,B","5'9""",160,4/24/1989,Abilene,Texas,West Lafayette,Ind. ,West Lafayette,Ind.,"Purdue University '14, Communications"
Sam,Dorman,,M,Diving,3m Synchro,none,"5'9""",170,8/30/1991,Miami,Fla. ,Tempe,Ariz.,Miami,Fla. ,"University of Miami '15, Mechanical Engineering"
Michael,Hixon,,M,Diving,"3m Synchro, 3m Individual",none,"5'8""",150,7/16/1994,Amherst,Mass.,Amherst,Mass.,Bloomington,Ind.,"Indiana University '18, Economic Consulting and Public Policy"
Kristian,Ipsen,,M,Diving,3m Individual,2012-B,"5'7""",160,10/20/1992,Walnut Creek,Calif.,Clayton,Calif.,Clayton,Calif.,"Stanford University '15, Science, Technology and Society"
Steele,Johnson,,M,Diving,"10m Synchro, 10m Individual",none,"6'2""",175,6/16/1996,Indianapolis,Ind.,Carmel,Ind.,Carmel,Ind.,"Purdue University '18, Film and Video Studies"
Kassidy,Cook,,F,Diving,3m Individual,none,"5'4""",125,5/9/1995,Plantation,Fla.,The Woodlands,Texas,The Woodlands,Texas,"Stanford '17, Communications/Advertising"
Amy,Cozad,,F,Diving,10m Synchro,none,"5'3""",113,5/6/1991,Indianapolis,Ind.,Indianapolis,Ind.,Indianapolis,Ind.,"Indiana University '13, Mathematics"
Abby,Johnston,,F,Diving,3m Individual,2012-S,"5'5""",135,11/16/1989,Upper Arlington,Ohio,Upper Arlington,Ohio,Durham,N.C. ,"Duke University '13, Psychology/Chemistry, Duke University '18, Doctor of Medicine"
Jessica,Parratto,,F,Diving,"10m Synchro, 10m Individual",none,"5'2""",112,6/26/1994,Bloomington,Ind.,Dover,N.H.,Bloomington,Ind.,"Indiana University '18, Liberal Studies"
Katrina,Young,,F,Diving,10m Individual,none,"5'4""",132,1/10/1992,Shoreline,Wash.,Seattle,Wash.,Tallahassee,Fla.,"Florida State University '14, Commercial Music"
Steffen,Peters,,M,Equestrian ,Dressage,1996-B; 2008-4th; 2012-6th,"5'8""",150,9/18/1964,Wesel,Germany,San Diego,Calif.,San Diego,Calif.,"Voerde High School (Voerde, Germany) '84"
Allison ,Brock,,F,Equestrian ,Dressage,none,"5'6""",130,12/7/1979,Honolulu,Hawaii,Wellington,Fla. ,Wellington,Fla.,"Kailua High School (Kailua, Hawaii) '97"
Laura,Graves,,F,Equestrian ,Dressage,none,"5'8""",120,7/22/1987,Burlington,Vt.,Orlando,Fla. ,Geneva,Fla.,"Harwood Union High School (Duxbury, Vt.) '04"
Kasey,Perry-Glass,,F,Equestrian ,Dressage,none,"5'4""",130,10/12/1987,Sacramento,Calif.,Orangevale,Calif.,Wellington,Fla.,"California State University - Sacramento '11, Business Entrepreneurship "
Phillip ,Dutton,,M,Equestrian ,Eventing,"1996-G; 2000-G; 2004-6th,13th; 2008-7th; 2012-7th, 23rd","5'6""",150,9/13/1963,Nyngan,Australia,West Grove,Pa.,West Grove,Pa.,"Newington College ê84, Farming"
Boyd ,Martin,,M,Equestrian ,Eventing,2012-7th,"6'2""",175,8/20/1979,Sydney,Australia,Cochranville,Pa.,Cochranville,Pa.,"Nimbin University '98, Biology"
Clark  ,Montgomery,,M,Equestrian ,Eventing,none,"6'0""",155,5/20/1981,Bryan,Texas,Mineral Wells,Texas,Tetbury,United Kingdom,"Bryan High School (Bryan, Texas) •97"
Lauren ,Kieffer,,F,Equestrian ,Eventing,none,"5'10""",150,6/6/1987,Mount Carmel,Ill.,Middleburg,Va.,The Plains,Va.,"Mount Carmel High School (Mount Carmel, Ill.) '05"
Kent,Farrington,,M,Equestrian ,Jumping,none,"5'8""",145,12/28/1980,Chicago,Ill.,Wellington,Fla. ,Wellington,Fla.,"The Latin School of Chicago (Chicago, Ill.) '99"
McLain,Ward,,M,Equestrian ,Jumping,"2004-G; 2008-G, 6th; 2012-6th, 29th","5'9""",155,10/17/1975,Mount Kisco,N.Y.,Brewster,N.Y.,Brewster,N.Y. ,Greenwich Country Day
Lucy,Davis,,F,Equestrian ,Jumping,none,"5'5""",122,10/22/1992,Los Angeles,Calif.,Los Angeles ,Calif.,Los Angeles,Calif.,"Stanford University '15, Architectural Design"
Beezie,Madden,,F,Equestrian ,Jumping,"2004-G; 2008-G, B; 2012- ","5'6""",140,11/20/1963,Milwaukee,Wis.,Cazenovia,N.Y.,Cazenovia,N.Y. ,"Nicolet High School (Glendale, Wisconsin) '80"
Jason,Pryor,,M,Fencing,Epee,none,"5'9""",175,9/26/1987,Cleveland,Ohio,South Euclid,Ohio,South Euclid,Ohio,"The Ohio State University '09, English"
Katharine,Holmes,,F,Fencing,Epee,none,"5'11""",175,7/15/1993,"Washington, D.C. ",-,"Washington, D.C. ",-,Princeton,N.J.,"Princeton University '17, Neuroscience"
Courtney,Hurley,,F,Fencing,Epee,2012-B,"5'8""",175,9/30/1990,San Antonio,Texas,San Antonio,Texas,San Antonio,Texas,"University of Notre Dame '13, Film, Television & Theater, supplementary major in Computer Applications"
Kelley,Hurley,,F,Fencing,Epee,2008; 2012-B,"5'9""",165,4/4/1988,San Antonio,Texas,San Antonio,Texas,San Antonio,Texas,"University of Notre Dame '10, Design"
Alexander,Massialas,,M,Fencing,Foil,2012,"6'2""",180,4/20/1994,San Francisco,Calif.,San Francisco,Calif.,San Francisco,Calif.,"Stanford University, Engineering"
Gerek,Meinhardt,,M,Fencing,Foil,2008; 2012,"6'0""",175,7/27/1990,San Francisco,Calif.,San Francisco,Calif.,San Francisco,Calif.,"University of Notre Dame '13, Management"
Miles,Chamley-Watson,,M,Fencing,Foil,2012,"6'4""",175,12/3/1989,New York,N.Y.,New York,N.Y.,New York ,N.Y. ,"Penn State University '13, Sports Management"
Lee,Kiefer,,F,Fencing,Foil,2012,"5'4""",107,6/15/1994,Cleveland,Ohio,Lexington,Ky.,Lexington,Ky.,"University of Notre Dame '13, Premed"
Nzingha,Prescod,,F,Fencing,Foil,2012,"5'4""",138,8/14/1992,New York,N.Y.,Brooklyn,N.Y.,Brooklyn,N.Y. ,"Columbia University '15, Political Science w / Concentration in Race & Ethnicity"
Eli,Dershwitz,,M,Fencing,Saber,none,"6'1""",170,9/23/1995,Boston,Mass.,Sherborn,Mass.,Sherborn,Mass.,Harvard University '19
Daryl,Homer,,M,Fencing,Saber,2012,"5'8""",165,7/16/1990,"St. Thomas, Virgin Islands",-,Bronx,N.Y.,New York,N.Y. ,"St. John's University '13, Advertising"
Ibtihaj,Muhammad,,F,Fencing,Saber,None,"5'7""",150,12/4/1985,Maplewood,N.J.,Maplewood,N.J.,Maplewood,N.J.,"Duke University '07, Dual Bachelor's degrees in international relations and African and African-American studies"
Dagmara,Wozniak,,F,Fencing,Saber,2012,"5'8""",180,7/1/1988,Wroclaw,Poland,Avenel,N.J.,Avenel,N.J.,"St. John's University '13, Biology"
Mariel,Zagunis,,F,Fencing,Saber,"2004-G; 2008-G, B; 2012","5'8""",160,3/3/1985,Portland,Ore.,Portland,Ore.,Beaverton,Ore.,"University of Notre Dame, Anthropology"
Katie,Bam,,F,Field Hockey,Striker,2012,"5'1""",120,12/6/1988,Montgomery,Pa. ,Blue Bell,Pa.,Bluebell,Pa. ,University of Maryland - Family Sciences (2013 grad)
Lauren,Crandall,,F,Field Hockey,Defender,2008; 2012,"5'3""",127,3/17/1985,Pittsburgh,Pa. ,Doylestown,Pa.,Lancaster,Pa.,"Wake Forest University - Communications (2007 grad), Keller Graduate School of Management"
Rachel,Dawson,,F,Field Hockey,Midfielder,2008; 2012,"5'10""",150,8/2/1985,Camden,N.J.,Berlin,N.J.,Berlin,N.J.,University of North Carolina - Business Administration (2007 grad)
Katelyn,Falgowski,,F,Field Hockey,Midfielder,2008; 2012,"5'6""",138,10/23/1988,Wilmington,Del. ,Landenberg,Pa.,Mount Joy,Pa.,University of North Carolina - Communications (2011 grad)
Stefanie,Fee,,F,Field Hockey,Defender,none,"5'6""",140,3/11/1990,Virginia Beach,Va.,Virginia Beach,Va.,Mount Joy,Pa.,Duke University (2012 grad) - Psychology
Melissa,Gonzalez,,F,Field Hockey,Midfielder,2012,"5'3""",128,1/24/1989,Peekskill,N.Y.,Mohegan Lake,N.Y.,Mohegan Lake,N.Y. ,University of Connecticut - Kinesiology & Coaching and Administration (2011 grad)
Michelle,Kasold,,F,Field Hockey,Striker,2012,"5'3""",118,5/26/1987,San Jose,Calif.,Chapel Hill,N.C.,Raleigh,N.C. ,Wake Forest University - Sociology (2009 grad)
Jackie,Briggs,,F,Field Hockey,Goalkeeper,none,"5'6""",135,5/23/1988,Reading,Pa. ,Robesonia,Pa.,Lancaster,Pa.,University of North Carolina - Studio Art (2010 grad)
Kelsey,Kolojejchick,,F,Field Hockey,Striker,none,"5'3""",135,10/2/1991,Kingston,Pa. ,Larksville,Pa.,Larksville,Pa.,University of North Carolina - Communications (2013 grad)
Alyssa,Manley,,F,Field Hockey,Defender,none,"5'2""",118,5/27/1994,Lancaster ,Pa. ,Lititz,Pa.,Lititz,Pa.,Syracuse University (2016 grad) - Child and Family studies
Julia,Reinprecht,,F,Field Hockey,Defender,2012,"5'3""",123,7/12/1991,Philadelphia,Pa.,Perkasie,Penn.,Perkasie,Pa.,Princeton University - Politics (2014 grad)
Katie,Reinprecht,,F,Field Hockey,Midfielder,2012,"5'4""",125,11/1/1989,Philadelphia,Pa. ,Perkasie,Pa.,Perkasie,Pa.,Princeton University - Sociology (2013 grad)
Kathleen,Sharkey,,F,Field Hockey,Striker,none,"5'4""",128,4/30/1990,Wilkes-Barre,Pa. ,Moosic,Pa.,Moosic,Pa.,Princeton University - Sociology (2013 grad)
Caitlin,Van Sickle,,F,Field Hockey,Defender,none,"5'5""",130,1/26/1990,Wilmington,Del. ,Wilmington,Del.,Lancaster,Pa.,University of North Carolina - Communications (2012 grad)
Michelle,Vittese,,F,Field Hockey,Midfielder,2012,"5'3""",126,12/6/1989,Philadelphia,Pa. ,Cherry Hill,N.J.,Cherry Hill,Pa.,University of Virginia - History (2011 grad)
Jill,Witmer,,F,Field Hockey,Striker,none,5'2',116,10/1/1991,Lancaster,Pa. ,Lancaster,Pa.,Washington Boro,Pa.,University of Maryland - Family Sciences (2014 grad)
Rickie,Fowler,,M,Golf,,none,"5'9""",150,12/13/1988,Murrieta,Calif.,Murrieta,Calif.,Purcellville,Va.,Oklahoma State University
Matt,Kuchar,,M,Golf,,none,"6'4""",190,6/21/1978,Winter Park,Fla.,Sea Island,Ga. ,New York,N.Y. ,Georgia Tech University
Patrick,Reed,,M,Golf,,none,"6'0""",200,8/5/1990,San Antonio,Texas,Houston,Texas,Houston,Texas,"Augusta State University '09, Bachelor of Science"
Bubba,Watson,,M,Golf,,none,"6'3""",180,11/5/1978,Bagdad,Fla.,Bagdad,Fla. ,Scottsdale,Ariz. ,University of Georgia
Stacy,Lewis,,F,Golf,,none,"5'5""",133,2/16/1985,Toledo,Ohio,The Woodlands,Texas,Humble,Texas,University of Arkansas - Finance and Accounting (2008 grad)
Gerina,Piller,,F,Golf,,none,"5'7""",142,3/29/1985,Roswell,N.M.,Roswell,N.M.,Fort Worth,Texas,"University of Texas - El Paso '07, Mathematics"
Lexi,Thompson,,F,Golf,,none,"5'11""",160,2/10/1995,Coral Springs,Fla.,Coral Springs,Fla. ,Coral Springs,Fla.,"Broward Virtual High School (Coral Springs, Florida) '12"
Chris,Brooks,,M,Gymnastics,Artistic _ Team ,none,"5'8""",165,12/19/1986,Houston,Texas,Houston,Texas,Colorado Springs,Colo.,"University of Oklahoma, Business Management"
Jake,Dalton,,M,Gymnastics,Artistic _ Team ,2012-5th,"5'5""",150,7/22/1991,Oak Lawn,Ill.,Sparks,Nev.,Gilbert,Ariz. ,"University of Oklahoma '14, Human Relations"
Sam,Mikulak,,M,Gymnastics,Artistic _ Team ,2012,"5'5""",140,10/13/1992,Corona del Mar,Calif.,Newport Beach,Calif.,Colorado Springs,Colo.,"University of Michigan '14, Psychology "
Alex,Naddour,,M,Gymnastics,Artistic _ Team ,none,"5'7""",155,3/4/1991,Mesa,Ariz.,Gilbert,Ariz.,Queen Creek,Ariz. ,"University of Oklahoma, Business"
Danell,Leyva,,M,Gymnastics,Artistic _ Team ,"2012-B, 5th","5'7""",150,10/30/1991,Cardenas,Cuba,Homestead,Fla. ,Homestead,Fla.,Homeschooled  '10
Simone,Biles,,F,Gymnastics,Artistic _ Team ,none,"4'8""",115,3/14/1997,Columbus,Ohio,Spring,Texas,Spring,Texas,Home School '15
Gabby,Douglas,,F,Gymnastics,Artistic _ Team ,"2012-2G, 7th, 8th","5'2""",110,12/31/1995,Newport News,Va.,Los Angeles,Calif.,Tarzana,Calif.,"Oak Park High School (Oakpark, Calif.) '15"
Laurie,Hernandez,,F,Gymnastics,Artistic _ Team ,none,"5'0""",107,6/9/2000,New Brunswick,N.J.,Old Bridge,N.J.,Old Bridge,N.J.,"Abeka Academy (Old Bridge, N.J.) '18"
Madison,Kocian,,F,Gymnastics,Artistic _ Team ,none,"5'2""",102,6/15/1997,Dallas,Texas,Dallas,Texas,Dallas,Texas,"Spring Creek Academy (Plano, Texas) '15"
Aly,Raisman,,F,Gymnastics,Artistic _ Team ,"2012-2G, 1B","5'2""",115,5/25/1994,Boston,Mass.,Needham,Mass.,Needham,Mass.,"Needham High School '12 (Needham Heights, Mass.)"
Natalie,McGiffert,,F,Gymnastics,Rhythmic group,none,"5'3""",97,3/14/1997,Los Angeles,Calif.,Topanga,Calif.,Northbrook,Ill. ,"Glenbrook High School (Northbrook, Ill.) '15"
Kiana,Eide,,F,Gymnastics,Rhythmic group,none,5'3,118,9/25/1998,Fridley,Minn. ,St. Francis,Minn.,Northbrook,Ill. ,"Glenbrook North High School (Northbrook, Ill.) '17"
Alisa,Kano,,F,Gymnastics,Rhythmic group,none,"5'4""",105,11/7/1994,Tokyo,Japan,New York,N.Y.,Glencoe,Ill. ,"Oakton Community College, Undeclared"
Monica,Rokhman,,F,Gymnastics,Rhythmic group,none,"5'8""",123,5/27/1997,Northbrook,Ill.,Northbrook,Ill.,Northbrook,Ill. ,"Glenbrook North High School (Northbrook, Ill.) '15"
Kristen,Shaldybin,,F,Gymnastics,Rhythmic group,none,"5'9""",125,8/8/1997,Woonsocket,R.I.,Brooklyn,N.Y.,Highwood,Ill. ,"Highland Park High School (Highland Park, Ill.) '16"
